site_id,site_name,company,industry,hq_country,country,country_iso,sector,lat,lon,year,gas,tons_millions,intensity
site-001,Riverside power station,Northgate Energy,power,United States,United States,USA,coal,38.9,-90.2,2020,co2e,3.4,high
site-001,Riverside power station,Northgate Energy,power,United States,United States,USA,coal,38.9,-90.2,2021,co2e,3.59,high
site-001,Riverside power station,Northgate Energy,power,United States,United States,USA,coal,38.9,-90.2,2022,co2e,3.79,high
site-001,Riverside power station,Northgate Energy,power,United States,United States,USA,coal,38.9,-90.2,2023,co2e,4.03,high
site-001,Riverside power station,Northgate Energy,power,United States,United States,USA,coal,38.9,-90.2,2024,co2e,4.2,high
site-002,Meridian gas plant,Northgate Energy,power,United States,United States,USA,gas,29.8,-95.4,2020,co2e,2.02,medium
site-002,Meridian gas plant,Northgate Energy,power,United States,United States,USA,gas,29.8,-95.4,2021,co2e,2.05,medium
site-002,Meridian gas plant,Northgate Energy,power,United States,United States,USA,gas,29.8,-95.4,2022,co2e,2.09,medium
site-002,Meridian gas plant,Northgate Energy,power,United States,United States,USA,gas,29.8,-95.4,2023,co2e,2.09,medium
site-002,Meridian gas plant,Northgate Energy,power,United States,United States,USA,gas,29.8,-95.4,2024,co2e,2.1,medium
site-003,Sable Point terminal,Northgate Energy,oil,United States,United States,USA,upstream,29.3,-94.8,2020,co2e,2.74,high
site-003,Sable Point terminal,Northgate Energy,oil,United States,United States,USA,upstream,29.3,-94.8,2021,co2e,2.89,high
site-003,Sable Point terminal,Northgate Energy,oil,United States,United States,USA,upstream,29.3,-94.8,2022,co2e,3.07,high
site-003,Sable Point terminal,Northgate Energy,oil,United States,United States,USA,upstream,29.3,-94.8,2023,co2e,3.22,high
site-003,Sable Point terminal,Northgate Energy,oil,United States,United States,USA,upstream,29.3,-94.8,2024,co2e,3.4,high
site-004,Rheinland works,Vestara Industries,power,Germany,Germany,DEU,coal,51.2,6.8,2020,co2e,3.01,high
site-004,Rheinland works,Vestara Industries,power,Germany,Germany,DEU,coal,51.2,6.8,2021,co2e,3.12,high
site-004,Rheinland works,Vestara Industries,power,Germany,Germany,DEU,coal,51.2,6.8,2022,co2e,3.26,high
site-004,Rheinland works,Vestara Industries,power,Germany,Germany,DEU,coal,51.2,6.8,2023,co2e,3.44,high
site-004,Rheinland works,Vestara Industries,power,Germany,Germany,DEU,coal,51.2,6.8,2024,co2e,3.6,high
site-005,Solkraft solar farm,Vestara Industries,power,Germany,Germany,DEU,solar,52.5,13.4,2020,co2e,0.23,low
site-005,Solkraft solar farm,Vestara Industries,power,Germany,Germany,DEU,solar,52.5,13.4,2021,co2e,0.22,low
site-005,Solkraft solar farm,Vestara Industries,power,Germany,Germany,DEU,solar,52.5,13.4,2022,co2e,0.22,low
site-005,Solkraft solar farm,Vestara Industries,power,Germany,Germany,DEU,solar,52.5,13.4,2023,co2e,0.21,low
site-005,Solkraft solar farm,Vestara Industries,power,Germany,Germany,DEU,solar,52.5,13.4,2024,co2e,0.2,low
site-006,Nordsee gas hub,Vestara Industries,oil,Germany,Germany,DEU,gas,54.3,8.1,2020,co2e,1.79,medium
site-006,Nordsee gas hub,Vestara Industries,oil,Germany,Germany,DEU,gas,54.3,8.1,2021,co2e,1.79,medium
site-006,Nordsee gas hub,Vestara Industries,oil,Germany,Germany,DEU,gas,54.3,8.1,2022,co2e,1.83,medium
site-006,Nordsee gas hub,Vestara Industries,oil,Germany,Germany,DEU,gas,54.3,8.1,2023,co2e,1.87,medium
site-006,Nordsee gas hub,Vestara Industries,oil,Germany,Germany,DEU,gas,54.3,8.1,2024,co2e,1.9,medium
site-007,Deccan thermal plant,Bharat Power Corp,power,India,India,IND,coal,19.1,72.9,2020,co2e,4.38,high
site-007,Deccan thermal plant,Bharat Power Corp,power,India,India,IND,coal,19.1,72.9,2021,co2e,4.52,high
site-007,Deccan thermal plant,Bharat Power Corp,power,India,India,IND,coal,19.1,72.9,2022,co2e,4.73,high
site-007,Deccan thermal plant,Bharat Power Corp,power,India,India,IND,coal,19.1,72.9,2023,co2e,4.92,high
site-007,Deccan thermal plant,Bharat Power Corp,power,India,India,IND,coal,19.1,72.9,2024,co2e,5.1,high
site-008,Ganga basin field,Bharat Power Corp,oil,India,India,IND,upstream,25.3,83.0,2020,co2e,1.77,medium
site-008,Ganga basin field,Bharat Power Corp,oil,India,India,IND,upstream,25.3,83.0,2021,co2e,1.77,medium
site-008,Ganga basin field,Bharat Power Corp,oil,India,India,IND,upstream,25.3,83.0,2022,co2e,1.78,medium
